Código,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
1,2578,3581655,124.6,14800,4500,33.2,48,38.27,28748,0.795,6.7,10.83,63,28.8,65.65,42°30'N,36.2,262,74.5056,0,0,0,85589.6,3552907,13948,0
2,2612,32930091,13.8,145200,6000,27.6,18,0.19,2381741,0.748,6.4,11.57,74.3,0.8,54.17,37°05'N,27.5,250,98.1864,1,0,0,72091.2,30548350,2236541,0
3,665,12127071,9.7,62310,1900,51.3,,56.79,1246700,0.581,2.8,62.34,67.5,53.4,81.29,04°24'S,16.4,0,98.1864,1,1,0,34114.5,10880371,1184390,51.3
4,5319,39921833,14.4,383100,11200,42.9,51,,2780400,0.845,9.1,9,92.2,10.4,42.59,21°48'S,30.8,578,89.076,4,1,1,228185.1,37141433,2397300,42.9
5,2216,2976372,99.9,12650,3500,29.9,69,11.13,29743,0.776,10.4,11.5,63.4,11.5,50.18,41°17'N,33.9,234,96.8448,1,0,0,66258.4,2946629,17093,0
6,17076,20264082,2.6,1331000,29000,34.4,74,9.65,7692024,0.944,9.2,3.12,86.4,17.4,19.9,09°16'S,37.4,1777,69.5136,6,1,0,587414.4,12572058,6361024,34.4
7,18405,8192880,97.7,429,30000,30.8,100,33.85,83871,0.922,10.4,3.34,59,47.3,17.48,49°01'N,43.2,1727,98.592,1,0,0,566874,8109009,83442,0
8,19491,698585,1050.5,38474,16900,,91,0,785,0.852,4.7,8.33,89.6,0.9,58.91,26°17'N,31.2,0,119.7144,0,0,0,0,697800,-37689,0
9,1131,147000000,1023.4,324239,1900,32.4,39,30.71,148460,0.632,2.3,28.33,38.9,14.5,70.67,26°38'N,25.6,118,115.3152,0,0,0,36644.4,146851540,-175779,0
10,15642,279912,649.5,4365,15700,,,5.84,430,0.814,6.8,9.57,31.2,14.7,20.73,13°20'N,38.5,0,119.7144,0,0,0,0,279482,-3935,0
11,6507,10293011,49.6,60258,6100,25.3,74,7.22,207600,0.823,5.9,3.52,79.9,43.2,37.48,56°08'N,39.6,613,120.4632,1,0,0,164627.1,10085411,147342,0
12,16157,10379067,340,515332,29100,27.2,89,10.66,30528,0.931,10.3,3.3,98.1,22.8,41.55,51°30'N,41.3,1493,133.0992,2,0,0,439470.4,10348539,-484804,0
13,699,7862944,69.8,15651,1100,47.8,,43.97,114763,0.545,3.7,58.73,49,27.8,47.5,12°25'N,18.2,82,119.7144,1,0,0,33412.2,7748181,99112,0
14,3631,8989046,8.2,36688,2400,42.6,53,7.57,1098581,0.718,6.4,32.33,70.5,46.9,62.2,09°40'S,24.1,399,114.0984,3,0,0,154680.6,7890465,1061893,0
15,5925,4498976,88,19788,6100,33,40,35.4,51209,0.78,8.9,5.2,49.4,42.7,50.23,45°16'N,41,594,114.1608,0,0,0,195525,4447767,31421,0
16,1596,1639833,2.7,15781,9000,53.3,,28.2,581730,0.735,6.1,26.78,71.6,26.9,38.41,17°46'S,24.4,242,124.6752,0,0,0,85066.8,1058103,565949,0
17,4559,188000000,22.1,1444733,7600,53.9,49,47.06,8515767,0.765,9.5,15.88,87.3,59.4,44.96,05°15'N,31.3,638,116.7816,23,3,2,245730.1,179484233,7071034,161.7
18,24694,379444,65.8,12016,18600,,,0.01,5765,0.838,2.4,8.8,78.6,72.1,28.44,05°04'N,30,0,121.68,0,0,0,0,373679,-6251,0
19,5696,7385367,66.6,69105,7600,41.3,72,19.53,111002,0.816,8.1,8.07,76,35.9,53.54,44°13'N,43.5,623,103.9584,1,0,0,235244.8,7274365,41897,0
20,748,13902972,50.7,17369,1100,35.3,,66.97,274222,0.452,6.9,52.03,31.2,22.7,65.83,15°05'N,17,84,111.5088,1,0,0,26404.4,13628750,256853,0
21,475,8090068,290.7,3258,600,38.6,,85.53,27834,0.433,7.5,40.11,14.1,10.9,66.93,02°18'S,17.6,53,126.1416,1,0,0,18335,8062234,24576,0
22,1245,17340702,36.5,39802,1800,46.6,,80.63,475442,0.563,4.7,51.49,58.1,43,77.5,13°05'N,18.3,153,140.9616,2,0,0,58017,16865260,435640,0
23,18652,33098932,3.3,1644037,29800,33.3,84,22.18,9984670,0.929,10.6,4.29,81.7,38.7,23.97,83°06'N,40.5,1837,104.4264,6,1,0,621111.6,23114262,8340633,33.3
24,,420979,104.4,1703,1400,42.4,,23,4033,0.665,5.2,19.73,67.1,11.3,38.33,15°02'N,23.8,0,127.4832,0,0,0,0,416946,2330,0
25,491,4303356,6.9,2303,1100,,14,80.95,622984,0.397,5.8,80.55,42.6,35.8,94.83,11°01'N,17.8,74,101.088,0,0,0,0,3680372,620681,0
26,880,9944201,7.7,10093,1200,43.3,10,85.26,1284000,0.398,4.7,68.59,23.8,3.4,37.83,23°29'N,16.1,99,118.8096,1,0,0,38104,8660201,1273907,0
27,6293,16134219,21.3,252940,9900,44.4,79,25.46,756102,0.851,9,6.17,87.8,24.5,65.49,17°19'S,33.7,775,68.2032,1,1,0,279409.2,15378117,503162,44.4
28,8394,1310000000,136.9,15000000,5000,38.5,70,13.12,9596961,0.761,5.2,11.41,62.5,23.3,67.18,53°34'N,37,354,118.6848,1,1,0,323169,1300403039,-5403039,38.5
29,3259,43593035,38.3,271346,6300,50.4,18,30.72,1141748,0.767,7.2,12.29,81.7,53.3,52.53,15°52'N,30.1,433,107.2344,6,1,1,164253.6,42451287,870402,50.4
30,1401,690948,318.4,1219,700,45.3,,55.01,1862,0.554,7.4,55.04,29.6,17.7,40.83,11°22'S,19.7,171,92.2896,0,0,0,63465.3,689086,643,0
31,658,3702314,700,10884,93.86,48.9,,69.85,342000,0.48,4,50.67,68.3,64.3,80.46,05°22'N,18.9,115,93.5376,2,0,0,32176.2,3360314,331116,0
32,5457,4075261,79.8,61520,9100,48.3,30,35.7,51100,0.81,7.3,7.45,81.4,59.4,37.06,11°13'N,31.4,703,107.2344,1,0,0,263573.1,4024161,-10420,0
33,7196,4494749,79.5,55966,10600,30.9,68,32.85,56594,0.851,6.8,8.62,57.9,34.3,26.12,11°13'N,42.6,667,85.8624,0,0,0,222356.4,4438155,628,0
34,7154,11382820,102.7,103131,2900,,68,20.85,109884,0.783,11.7,4.29,77.3,31.2,55.35,23°16'N,41.1,0,40.7147,1,0,0,0,11272936,6753,0
35,13053,784301,84.8,23804,19200,32.7,77,12.14,9251,0.887,6.7,7.36,66.9,18.7,46.25,35°42'N,34.9,1305,37.4725,0,0,0,426833.1,775050,-14553,0
36,17343,10235455,129.8,245349,15700,24.9,85,14.73,78871,0.9,7.2,2.63,74.2,34.7,29.91,51°02'N,41.4,950,35.3314,1,0,0,431840.7,10156584,-166478,0
37,507,62660551,700,49868,94.69,42.1,13,96.38,2344858,0.48,4,64.46,46.2,55.6,55.83,05°22'N,16.8,46,40.1271,6,1,1,21344.7,60315693,2294990,42.1
38,51807,5450661,126.5,356084,31100,28.7,92,35.33,43094,0.94,10.1,3.16,88.2,15.7,17.72,57°45'N,41.6,0,54.3582,1,0,0,1486860.9,5407567,-312990,0
39,2923,486530,21.2,3384,1300,41.6,37,27.84,23200,0.524,3.3,41.64,78.2,0.3,53.83,12°43'N,23.7,156,47.489,0,0,0,121596.8,463330,19816,0
40,7406,9183984,188.5,78844,6000,43.7,,16.09,48671,0.756,6.1,20.92,83.2,44.4,61.98,19°55'N,26.6,489,51.5905,1,0,0,323642.2,9135313,-30173,0
41,3525,13547510,47.8,98808,3300,45.4,42,16.33,276841,0.759,8.3,14.95,64.4,50.3,48.35,01°41'N,24.7,421,51.2512,2,0,0,160035,13270669,178033,0
42,1485,78887007,78.8,363069,4000,31.5,67,4.74,1002450,0.707,5.3,17.05,42.9,0,69.73,31°36'N,25.8,154,174.7785,2,2,1,46777.5,77884557,639381,63
43,3095,6822378,324.3,24638,4800,38.6,,23.21,21041,0.673,7.2,11.83,74.1,28.2,66,14°26'N,22.2,332,31.59,1,0,0,119467,6801337,-3597,0
44,3302,540109,19.3,10021,2700,,,4.9,28051,0.592,3.1,59.68,73.6,87.3,49.88,03°47'N,18.9,0,71.7262,1,0,0,0,512058,18030,0
45,449,4786994,39.5,2065,700,,,73.19,117600,0.459,2.9,43.3,42,10.4,50.83,18°00'N,41.6,0,55.1213,0,0,0,0,4669394,115535,0
46,10651,1324333,29.3,3065,12300,30.4,93,28.84,45227,0.892,6.4,3.69,69.4,56.1,16.49,59°48'N,20.4,1045,42.6387,0,0,0,323790.4,1279106,42162,0
47,907,74777981,66.3,107645,700,35,7,89.92,1104300,0.485,3.5,35.76,22.2,15.1,64.78,14°53'N,41.6,92,69.9504,1,1,0,31745,73673681,996655,35
48,16332,5231372,15.5,269751,27400,27.1,84,44.22,338425,0.938,9.2,2.53,85.6,73.7,10.06,70°05'N,42.5,1562,59.1006,1,0,0,442597.2,4892947,68674,0
49,16372,60876136,111.3,2630317,27600,31.6,79,15.25,640679,0.901,11.3,3.18,81.2,31.5,35.02,51°05'N,41.2,1617,59.6232,6,1,0,517355.2,60235457,-1989638,31.6
50,1383,1424906,5.3,15593,5500,38,,89.89,267668,0.703,2.8,30.37,90.4,91.3,66.93,02°19'N,22.6,295,45.1308,0,0,0,52554,1157238,252075,0
51,2273,1641564,145.3,1901,1700,35.9,29,52.38,11295,0.496,3.3,54.9,63.2,24,51.39,13°28'N,17,149,61.451,0,0,0,81600.7,1630269,9394,0
52,2273,4661473,66.9,15891,2500,36.4,34,27.94,69700,0.812,7.6,13.79,59.9,40.6,58.27,43°35'N,38,235,42.4203,1,0,0,82737.2,4591773,53809,0
53,16845,82422299,230.9,3846413,27600,31.9,97,15.8,357114,0.947,11.2,3.32,77.5,32.7,23.14,55°03'N,45.9,1644,54.0358,4,0,0,537355.5,82065185,-3489299,0
54,1779,22409572,93.6,72354,2200,43.5,13,41.98,238533,0.611,3.3,32.11,58,35.1,74.15,11°10'N,20.4,202,39.9789,2,0,0,77386.5,22171039,166179,0
55,6936,10688058,81,18941,20000,35,92,17.86,131957,0.888,8,3.67,80,30.3,43.35,41°43'N,43.3,678,38.1719,1,0,0,242760,10556101,113016,0
56,2036,12293545,112.9,77604,4100,48.3,,64.1,108889,0.663,5.8,21.84,52.2,32.9,60.62,17°49'N,21.3,259,71.7262,1,0,0,98338.8,12184656,31285,0
57,843,9690222,39.4,15681,2100,33.7,,69.88,245857,0.477,4.1,52.37,37.3,25.2,87.93,12°42'N,18.4,86,39.9724,1,0,0,28409.1,9444365,230176,0
58,486,1442029,39.9,1431,800,,12,86.79,36125,0.48,7.2,51.87,44.6,70.4,62.5,12°39'N,18.9,66,36.855,0,0,0,0,1405904,34694,0
59,2003,767245,3.6,5471,4000,,,16.81,214969,0.682,4.9,27.62,26.9,93.6,53.07,08°24'N,24.6,227,33.969,0,0,0,0,552276,209498,0
60,1162,8308504,299.4,13418,1600,,,76.24,27750,0.51,8,42.61,58,12.6,71.69,20°04'N,23,128,40.2961,1,0,0,0,8280754,14332,0
61,1959,7326496,65.4,23827,2600,41.1,50,50.06,112492,0.634,7.9,14.57,59,56.8,65.97,17°24'N,23,259,39.2106,1,0,0,80514.9,7214004,88665,0
62,7684,9981334,107.3,155012,13900,29.6,88,13.53,93028,0.854,6.9,4.71,72.2,22.5,40.05,48°35'N,41.7,718,58.8341,1,0,0,227446.4,9888306,-61984,0
63,17017,299388,2.9,21718,30900,26.1,84,78.21,103000,0.949,8.3,2.12,93.9,0.5,13.19,67°08'N,36,1608,40.2961,0,0,0,444143.7,196388,81282,0
64,1822,1100000000,333.2,2622983,2900,35.7,46,31.69,3287263,0.645,3.5,35.39,35.4,24.3,66.63,37°06'N,26.7,110,34.3941,16,9,6,65045.4,1096712737,664280,321.3
65,3280,245000000,127.9,1058423,3200,37.8,,20.86,1904569,0.718,3,20.42,57.3,49.1,56.08,06°04'N,28,0,45.4246,17,1,1,123984,243095431,846146,37.8
66,4360,68688433,41.7,191718,7000,42,,1,1648195,0.783,8.7,14.85,76.3,6.6,62.88,39°47'N,29.5,494,40.7953,9,1,0,183120,67040238,1456477,42
67,1951,26783383,61.3,167224,1500,29.5,46,0.48,438317,0.674,4.2,19.54,71.1,1.9,61.79,37°23'N,19.4,0,34.0834,4,1,0,57554.5,26345066,271093,29.5
68,14520,4062235,57.8,425888,29600,31.4,83,10.74,70273,0.955,7.2,3.55,63.9,11.4,28.43,55°26'N,36.9,1495,54.1489,1,0,0,455928,3991962,-355615,0
69,10866,6352117,305.8,401953,19800,39,95,3.72,20770,0.919,7.4,3.29,92.7,6.5,48.27,33°17'N,30.2,1106,97.8094,2,0,0,423774,6331347,-381183,0
70,13170,58133509,193,1886445,26700,35.9,96,17.07,301339,0.892,8.8,3.19,71.3,32.1,45.17,47°05'N,45.9,1296,53.1648,4,0,0,472803,57832170,-1585106,0
71,2115,17654843,54.8,61348,1400,41.5,,63.53,322463,0.538,5.29,59.09,52.2,8.9,79.85,06°49'N,18.3,0,93.5376,1,1,0,87772.5,17332380,261115,41.5
72,2899,2758124,250.9,13812,3900,,,8.67,10991,0.734,6,11.61,56.7,55.1,54.95,18°31'N,29.4,369,35.0597,0,0,0,0,2747133,-2821,0
73,14255,127000000,337.4,4975415,28200,32.9,81,7.39,377976,0.919,10.9,1.89,91.9,68.4,32.42,45°33'N,46.3,1425,43.4031,7,4,2,468989.5,126622024,-4597439,131.6
74,3185,5906760,64,43697,4300,,82,7.19,89342,0.729,8.1,12.81,91.6,1.1,63.55,33°22'N,22.1,335,45.331,1,0,0,0,5817418,45645,0
75,3661,15233244,5.6,169835,6300,27.8,,1.86,2724900,0.825,3.1,17.87,57.8,1.3,61.07,55°43'N,29.3,359,72.6362,3,0,0,101775.8,12508344,2555065,0
76,874,34707817,59.6,98842,1000,40.8,,72.27,580367,0.601,4.8,29.79,28.5,6.3,57.78,05°35'N,19,100,46.4893,2,0,0,35659.2,34127450,481525,0
77,32214,2418393,135.7,136196,19000,,100,0.03,17818,0.806,5.3,6.52,100,0.4,55.13,30°06'N,33.4,0,32.4571,1,0,0,0,2400575,-118378,0
